,isbn,book_title,book_author,year_of_publication,book_id
741,0061094404,Power of a Woman,Barbara Taylor Bradford,1998.0,9268
744,0671793489,All Around the Town,Mary Higgins Clark,1993.0,1486
755,3423202327,MÃ?Â¶rder ohne Gesicht.,Henning Mankell,1999.0,8839
761,3492045170,Stupid White Men. Eine Abrechnung mit dem Amerika unter George W. Bush,Michael Moore,2003.0,4622
765,3548359698,Warum MÃ?Â¤nner nicht zuhÃ?Â¶ren und Frauen schlecht einparken.,Allan Pease,2000.0,9511
768,3596214629,"Herr Der Fliegen (Fiction, Poetry and Drama)",Golding,,351
27986,0618045996,Riding the Bus with My Sister: A True Life Journey,Rachel Simon,2002.0,1478
336440,0452282101,The Debt: What America Owes to Blacks,Randall Robinson,2001.0,4562
20664,0553581112,Justice Hall: A Mary Russell Novel (Mary Russell Novels (Paperback)),Laurie R. King,2003.0,19223
40901,0805047379,The Sweetheart Season: A Novel,Karen Joy Fowler,1996.0,17220
12336,0373250223,Name &amp Address Withheld (Red Dress Ink (Paperback)),Jane Sigaloff,2002.0,1537
86593,0425182150,Perish Twice,Robert B. Parker,2001.0,34943
333972,1883473004,Mutant Message: Down Under,Marlo Morgan,1992.0,124544
232752,0061007129,Kane &amp Abel,Jeffrey Archer,1993.0,3295
13662,0812511816,"The Eye of the World (The Wheel of Time, Book 1)",Robert Jordan,1990.0,2256
54978,0880381736,"Dragons of Autumn Twilight (Dragonlance Chronicles, Vol 1)",Margaret Weis,1990.0,3266
316043,0880381744,Dragons of Winter Night,Margaret Weis,1985.0,37150
798,0312283709,Running with Scissors,Augusten Burroughs,2002.0,4282
801,0446605484,Roses Are Red (Alex Cross Novels),James Patterson,2001.0,225
802,0446611212,Violets Are Blue,James Patterson,2002.0,2866
804,0451207955,Serpent's Dance,Larry Brooks,2003.0,31779
805,0609804138,The Sweet Potato Queens' Book of Love,JILL CONNER BROWNE,1999.0,6401
809,074343627X,Dreamcatcher,Stephen King,2001.0,4078
812,0971880107,Wild Animus,Rich Shapero,2004.0,26
279906,3426615355,How to be good.,Nick Hornby,2003.0,10393
819,0330262130,Restaurant At the End of the Universe,Douglas Adams,,6347
820,0385720920,Choke,CHUCK PALAHNIUK,2002.0,1281
822,0553262505,"A Wizard of Earthsea (Earthsea Trilogy, Book 1)",URSULA K. LE GUIN,1984.0,3927
141763,0590108395,"The Hidden Stairs and the Magic Carpet (Secret of Droon, No 1)",Tony Abbott,1999.0,36354
154533,3442451353,Das Wunschspiel.,Patrick Redmond,2002.0,82261
55811,1573229571,About a Boy (Movie Tie-In),Nick Hornby,2002.0,878
184678,0434009407,Hannibal,Thomas Harris,,52337
860,8472230082,Relato de un nÃ¡ufrago,Gabriel Garcia Marquez,1984.0,63372
34575,0064404773,Beauty: A Retelling of the Story of Beauty and the Beast,Robin McKinley,1993.0,9334
12264,0064407667,"The Bad Beginning (A Series of Unfortunate Events, Book 1)",Lemony Snicket,1999.0,800
869,081297106X,Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,2003.0,2641
870,0843951826,Body Rides,Richard Laymon,2004.0,20004
276937,0385334141,Mother Night,KURT VONNEGUT,1999.0,105948
125701,0425191184,Red Rabbit,Tom Clancy,2003.0,4062
440482,0751503894,The Physician,Noah Gordon,2001.0,43847
60086,3548208975,Die MÃ?Â¶we Jonathan.,Richard Bach,1972.0,12841
49487,0425189864,Mortal Prey,John Sandford,2003.0,22052
4304,0440236053,Writ of Execution,Perri O'Shaughnessy,2002.0,12366
2411,0440241073,The Summons,John Grisham,2002.0,5662
108401,0553586122,Reap the Wind,Iris Johansen,2002.0,1072
695319,0865472807,Hard Laughter: A Novel,Anne Lamott,1987.0,11320
111796,0312960344,Pandora's Clock,John J. Nance,1996.0,31967
27297,031286504X,I Am Legend,Richard Matheson,1997.0,5088
13620,0345342968,Fahrenheit 451,RAY BRADBURY,1987.0,2230
1807,0767903382,Tender at the Bone: Growing Up at the Table,Ruth Reichl,1999.0,18538
911,0312979517,The Tin Collectors : A Novel (A Shane Scully Novel),Stephen J. Cannell,2002.0,26928
913,0316154059,City of Bones,Michael Connelly,2002.0,38613
916,0345450175,Balance of Power,RICHARD NORTH PATTERSON,2003.0,36176
917,0345452550,A Cold Heart: An Alex Delaware Novel,JONATHAN KELLERMAN,2003.0,2410
928,0399146504,The Devil's Code,John Sandford,2000.0,7028
929,0399146687,Perish Twice,Robert B. Parker,2000.0,5012
930,0399147101,Potshot,Robert B. Parker,2001.0,3189
934,0399148337,Midnight Runner,Jack Higgins,2002.0,50361
936,0399148639,Mortal Prey,John Sandford,2002.0,44550
937,0399148728,Fire Ice: A Novel from the NUMA Files,Clive Cussler,2002.0,5000
939,0399150811,"Retreat, Hell",W. E. B. Griffin,2004.0,88056
941,0399151451,Bad Business,Robert B. Parker,2004.0,36130
945,0425183181,A Little Magic,Nora Roberts,2002.0,27840
954,0671024094,The Coffin Dancer (Lincoln Rhyme Novels (Paperback)),Jeffery Deaver,1999.0,7940
955,0679450408,Silent Witness,Richard North Patterson,1997.0,15413
960,074320607X,"Nighttime Is My Time (Clark, Mary Higgins)",Mary Higgins Clark,2004.0,21323
962,0743486226,Angels &amp Demons,Dan Brown,2003.0,239
12350,0671032658,The Green Mile,Stephen King,1999.0,1534
54530,0812568710,01-01-00: The Novel of the Millennium,R. J. Pineiro,1999.0,57885
42349,0553285920,Silent Partner (Alex Delaware Novels (Paperback)),Jonathan Kellerman,1990.0,11836
1010,0449213730,The Ritual Bath (Peter Decker &amp Rina Lazarus Novels (Paperback)),Faye Kellerman,1991.0,32410
1012,0451173139,Night over Water,Ken Follett,1992.0,7718
1013,0486282406,My Antonia (Dover Thrift Editions),Willa Cather,1994.0,61745
1016,0553580930,A Man in Full,Tom Wolfe,1999.0,7936
1019,080410946X,Object Lessons,Anna Quindlen,1992.0,21183
23034,0440414806,Holes (Yearling Newbery),LOUIS SACHAR,2000.0,5649
181020,0679767800,The Stars My Destination,Alfred Bester,1996.0,55509
25434,0679745203,The English Patient,Michael Ondaatje,1996.0,6868
51228,0525945636,Code to Zero,Ken Follett,2000.0,64072
53592,074341232X,Jinxed,Carol Higgins Clark,2003.0,43164
1083,0060391626,I Know This Much Is True (Oprah's Book Club),Wally Lamb,1998.0,10616
1131,055326611X,EVEN COWGIRLS GET THE BLUES,TOM ROBBINS,1984.0,31642
1134,0553347756,Wild Mind: Living the Writer's Life,Natalie Goldberg,1990.0,13783
1135,0553379615,Into the Forest,JEAN HEGLAND,1998.0,30965
1138,0670869902,How Stella Got Her Groove Back,Terry McMillan,1996.0,15698
1140,0671021001,She's Come Undone (Oprah's Book Club),Wally Lamb,1998.0,485
1143,0671647458,Color Purple,Alice Walker,1987.0,44813
1173,1573221856,High Maintenance,Jennifer Belle,2001.0,55823
66840,0449209733,Fraternity of Stone,DAVID MORRELL,2003.0,14359
153490,0553271644,Doom of the Darksword (Darksword Trilogy),Margaret Weis,1988.0,50654
21429,0316969680,The Beach House,James Patterson,2002.0,1729
20281,0375703861,White Teeth: A Novel,Zadie Smith,2001.0,4467
352351,0440225442,One False Move (Myron Bolitar Mysteries (Paperback)),HARLAN COBEN,1999.0,8052
53537,0743229878,Mount Vernon Love Story : A Novel of George and Martha Washington,Mary Higgins Clark,2002.0,506
1202,030700645X,"Eeyore, Be Happy (Little Golden Book)",Don Ferguson,1996.0,32013
1203,0307127923,Disney's The Lion King (A Golden Look-Look Book),M. Hover,1994.0,69369
1204,0307302016,Winnie the Pooh and the Honey Tree (Little Golden Books),Golden Books,1995.0,29463
1205,0307302636,The Grand and Wonderful Day (Little Golden Book),Mary Packard,1995.0,31466
1206,0307987655,"Eeyore, You're the Best (Disney's Pooh)",Ann Braybrooks,1996.0,35718
1211,039480001X,The Cat in the Hat,Dr. Seuss,1957.0,3776
1212,0394800028,The Cat in the Hat Comes Back (I Can Read It All by Myself Beginner Books),Dr. Seuss,1958.0,20187
1213,0394800184,Are You My Mother?,Philip D. Eastman,1960.0,39766
1214,039480029X,Hop on Pop (I Can Read It All by Myself Beginner Books),Dr. Seuss,1963.0,26293
1215,039480967X,Bears on Wheels (Bright &amp Early Books),STAN BERENSTAIN,1969.0,10038
1228,059044297X,"Clifford, the Big Red Dog (Clifford the Big Red Dog (Paperback))",Norman Bridwell,1985.0,144414
1237,0717283194,Disney's: The Little Mermaid (Disney's Wonderful World of Reading),Walt Disney,,115700
1238,0717283208,Prince and the Pauper Walt Disney,Disney,1993.0,38380
1240,0717283364,Jungle Book,Walt Disney,,135135
1241,0717283372,Aladdin,Walt Disney,,115699
1242,0717284832,101 Dalmatians,Walt Disney,1995.0,31502
85939,0671664964,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1988.0,67051
10001,044023722X,A Painted House,John Grisham,2001.0,305
24819,0671015648,Isabel's Bed,Elinor Lipman,1998.0,17311
41450,0061044636,Mars and Venus on a Date : A Guide to Navigating the 5 Stages of Dating to Create a Loving and Lasting Relationship,John Gray,1998.0,11495
25490,0312282990,The Amazing Adventures of Kavalier &amp Clay,Michael Chabon,2001.0,1020
28349,037541309X,Balzac and the Little Chinese Seamstress,Dai Sijie,2001.0,3547
20406,0826308791,The Education of Little Tree (A Zia Book),Forrest Carter,1986.0,1349
20315,014029628X,Girl in Hyacinth Blue,Susan Vreeland,2000.0,7547
48834,038550926X,The Devil Wears Prada : A Novel,LAUREN WEISBERGER,2003.0,5034
50345,0449005909,Nightshade,John Saul,2001.0,25981
2992,0452282152,Girl with a Pearl Earring,Tracy Chevalier,2001.0,231
24397,0380807343,Coraline,Neil Gaiman,2003.0,6356
23455,0345422384,Pandora: New Tales of the Vampires (New Tales of the Vampires),Anne Rice,1999.0,2246
62460,0375708049,Joe Gould's Secret,Joseph Mitchell,1999.0,13332
337578,9726101794,As mulheres deviam vir com livro de instruÃ§Ãµes (Campo da literatura),Manuel Jorge Marmelo,1999.0,10256
73346,0062501860,Plain and Simple : A Journey to the Amish (Ohio),Sue Bender,1991.0,25904
1736,0553581929,Special Circumstances,SHELDON SIEGEL,2001.0,23655
680394,0806523794,"The Minority Report and Other Classic Stories (Dick, Philip K. Short Stories.)",Philip K. Dick,2002.0,28377
55495,1551668726,Death Qualified (Barbara Holloway Novels (Paperback)),Kate Wilhelm,2002.0,43708
26937,0380721643,Track of the Cat (Anna Pigeon Mysteries (Paperback)),Nevada Barr,1994.0,7066
30591,0446360716,Shadows of Yesterday,Sandra Brown,1992.0,20079
9457,0060173289,Divine Secrets of the Ya-Ya Sisterhood : A Novel,Rebecca Wells,1996.0,403
10484,0060976845,Little Altars Everywhere: A Novel,Rebecca Wells,1996.0,134
585214,1561840564,Prometheus Rising,Robert Anton Wilson,1992.0,38825
59856,084230052X,Atonement Child,Francine Rivers,1999.0,24308
50057,0446363073,Midnight Graffiti,James Van Hise,1992.0,75076
53471,0739417096,On the Street Where You Live,Mary Higgins Clark,,85841
35535,0060393823,Lost,Gregory Maguire,2001.0,10650
3186,0156027321,Life of Pi,Yann Martel,2003.0,563
10860,0553576801,The Perfect Husband,LISA GARDNER,1997.0,8355
467015,0312276885,The Sigma Protocol,Robert Ludlum,2001.0,61879
192004,0671521705,GUMP &amp CO,Winston Groom,1995.0,20104
1388,0312195516,The Red Tent (Bestselling Backlist),Anita Diamant,1998.0,522
1396,0446608955,A Walk to Remember,Nicholas Sparks,2000.0,5607
1403,0670892963,Bridget Jones : The Edge of Reason,Helen Fielding,2000.0,752
1406,0671646575,Heat and Dust,Ruth Prawer Jhabvala,1987.0,2622
1422,0804114986,The Bonesetter's Daughter,Amy Tan,2002.0,5977
1423,0812507452,"People of the Sea (The First North Americans series, Book 5)",W. Michael Gear,1994.0,25159
1424,0812515560,"People of the Lightning (The First North Americans series, Book 7)",Kathleen O'Neal Gear,1996.0,64289
1425,0812515595,"People of the Silence (The First North Americans series, Book 8)",Kathleen O'Neal Gear,1997.0,35700
49084,0399140751,The Cat Who Said Cheese,Lilian Jackson Braun,1996.0,14201
51046,051511605X,Undue Influence,Steven Paul Martini,1995.0,44551
1465,0060542128,When the Storm Breaks,Heather Lowell,2003.0,33560
1474,0061009059,One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,1995.0,669
1497,0152050167,The Whale Rider,Witi Ihimaera,2003.0,19289
1522,0316776963,Me Talk Pretty One Day,David Sedaris,2001.0,833
1543,0345413903,The Murder Book,Jonathan Kellerman,2003.0,1988
1560,0375751513,The Picture of Dorian Gray (Modern Library (Paperback)),OSCAR WILDE,1998.0,270
1564,0380702843,The Return of the Indian (Indian in the Cupboard),Lynne Reid Banks,1999.0,36224
1570,0380791978,The Family Tree,Sheri S. Tepper,1998.0,4500
1571,038081904X,Abandon Ship!,Richard F. Newcomb,2001.0,53612
1578,0385424736,The Rainmaker,John Grisham,1995.0,2552
1581,0385486804,Into the Wild,Jon Krakauer,1997.0,1793
1583,0385503857,Oryx and Crake,Margaret Atwood,2003.0,480
1586,039304016X,The Perfect Storm: A True Story of Men Against the Sea,Sebastian Junger,1997.0,782
1599,0399149562,Short &amp Tall Tales: Moose County Legends Collected by James Mackintosh Qwilleran,Lilian Jackson Braun,2002.0,19313
1601,0399501487,Lord of the Flies,William Gerald Golding,1959.0,1757
1607,0425104338,Stephen King's Danse Macabre,Stephen King,1997.0,16031
1611,0425116840,The Cardinal of the Kremlin (Jack Ryan Novels),Tom Clancy,1989.0,4057
1615,0425133516,The Hunt for Red October (Jack Ryan Novels),Tom Clancy,1997.0,15891
1628,0425190749,Keepsake Crimes (First Scrapbooking Mystery),Laura Childs,2003.0,21020
1637,0440185327,Thurston House,Danielle Steel,1984.0,22008
1647,0440224764,The Partner,John Grisham,1998.0,1776
1650,0440236061,Unfit to Practice,Perri O'Shaughnessy,2003.0,15591
1652,0440236738,Gone for Good,HARLAN COBEN,2003.0,7689
1655,0440428130,Freckle Juice,JUDY BLUME,1978.0,41467
1659,0441627404,The Once and Future King,T. H. White,1987.0,5399
1662,0446350982,Presumed Innocent,Scott Turow,1988.0,23385
1663,0446522384,Charmed Circle,Carol Smith,1998.0,7335
1664,0446600415,The Day After Tomorrow,Allan Folsom,1995.0,31017
1670,0446608890,Saving Faith,David Baldacci,2000.0,4433
1686,0451180739,Burglars Can't Be Choosers (Onyx Mystery),Lawrence Block,1995.0,58759
1688,0451191153,The Fountainhead,Ayn Rand,1996.0,1493
1690,0451203593,24 Hours,Greg Iles,2001.0,10099
1694,0452284449,The Virgin Blue,Tracy Chevalier,2003.0,8689
1710,0553078925,Mars (A Bantam Spectra Book),Ben Bova,1992.0,85694
1718,0553280368,C Is for Corpse (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1987.0,7853
1723,0553351672,Doomsday Book,Connie Willis,1992.0,9542
1724,0553571656,The Beekeeper's Apprentice,LAURIE R. KING,1996.0,1216
1728,0553573926,Vertical Run,Joseph R. Garber,1996.0,22696
1729,0553574566,A Monstrous Regiment of Women,LAURIE R. KING,1996.0,13779
1750,0671014420,Chicken Poop for the Soul : Stories to Harden the Heart and Dampen the Spirit,David Fisher,1997.0,46652
1755,0671528904,Mindhunter : Inside the FBI's Elite Serial Crime Unit,John E. Douglas,1996.0,28004
1763,0671740504,DEVIL IN A BLUE DRESS : An Easy Rawlins Mystery (Easy Rawlins Mysteries (Paperback)),Walter Mosley,1991.0,23487
1765,0671749897,"RED DEATH : Featuring an Original Easy Rawlins Short Story \Silver Lining\"" (Easy Rawlins Mysteries (Paperback))""",Walter Mosley,1992.0,96569
1768,0671876821,Chicks in Chainmail,Esther Friesner,1995.0,10465
1772,0679417648,Advanced French for Exceptional Cats,Henri De LA Barbe,1992.0,62879
1776,0679731148,A Year in Provence,Peter Mayle,1991.0,1612
1778,0679736042,Toujours Provence (Vintage Departures),Peter Mayle,1992.0,9575
1796,0736903054,Ice Cream As a Clue to the Meaning of the Universe,Billy Sprague,2000.0,16737
1797,0740723367,The Meaning Of Life,Bradley Trevor Greive,2002.0,14855
1798,0743406176,If Only It Were True,Marc Levy,2000.0,766
1799,0743412028,Pay It Forward,Catherine Ryan Hyde,2000.0,2779
1800,0743422082,The Immaculate Deception,Iain Pears,2001.0,21638
1802,0743444477,Letters for Emily,Camron Wright,2003.0,55654
1803,0743457943,Trading Places,Fern Michaels,2003.0,1201
1810,0786866845,Ice Bound: A Doctor's Incredible Battle for Survival at the South Pole,Dr. Jerri Nielsen,2001.0,10584
1826,0810909650,Gnomes,Will Huygen,1977.0,86151
1828,0811802981,The Golden Mean: In Which the Extraordinary Correspondence of Griffin &amp Sabine Concludes,Nick Bantock,1993.0,3623
1829,0811811409,"The Venetian's Wife: A Strangely Sensual Tale of a Renaissance Explorer, a Computer, and a Metamorphosis",Nick Bantock,1996.0,26762
1831,0812531353,The Boat of a Million Years,Poul Anderson,1994.0,11456
1838,0836210263,Still Pumped From Using The Mouse,Scott Adams,1996.0,20600
1842,0836217691,Homicidal Psycho Jungle Cat: A Calvin and Hobbes Collection,Bill Watterson,1994.0,15180
1844,0836218515,Prehistory of the Far Side,Gary Larson,1989.0,19710
1847,0836218817,Unnatural Selections,Gary Larson,1991.0,18667
1849,0836221192,Dilbert Fugitive From The Cubicle Police,Scott Adams,1996.0,4949
1850,0836221311,Last Chapter and Worse,Gary Larson,1996.0,34281
1852,0836236688,Dilbert: Seven Years Of Highly Defective People (P,Scott Adams,1997.0,20599
1858,0843947888,Among the Missing,Richard Laymon,2000.0,7545
1878,0887621112,Salt Fish Girl,Larissa Lai,2002.0,10462
1880,0890876517,Creative Companion: How to Free Your Creative Spirit,Sark,1991.0,19469
1893,0898157803,Menopaws: The Silent Meow,Martha Sacks,1995.0,16727
1911,0932592007,Juggling for the Complete Klutz/With Block Beanbags,John Cassidy,1994.0,39276
1919,1400060265,Honku : The Zen Antidote to Road Rage,AARON NAPARSTEK,2003.0,22967
1931,1565075722,The Power of a Praying Wife,Stormie Omartian,1997.0,17509
1951,8251800811,A Time for Trolls: Fairy Tales from Norway,Peter C. Asbjornsen,1992.0,25149
12756,031215125X,The Far Pavilions,M. M. Kaye,1997.0,1812
14551,0590629786,"The Visitor (Animorphs, No 2)",K. A. Applegate,1996.0,2683
14552,0590629794,"The Encounter (Animorphs , No 3)",K. A. Applegate,1996.0,2684
14553,0590629808,"The Message (Animorphs , No 4)",K. A. Applegate,1996.0,2655
441737,0590629816,"The Predator (Animorphs, No. 5)",K. A. Applegate,1996.0,25294
1965,0316666343,The Lovely Bones: A Novel,Alice Sebold,2002.0,408
1966,0345444892,"Murder at Ford's Theatre (Truman, Margaret, Capital Crimes Series.)",MARGARET TRUMAN,2002.0,3901
1969,0399149821,Dirty Work,Stuart Woods,2003.0,6027
1973,0671027360,Angels &amp Demons,Dan Brown,2001.0,118
624270,0849908647,He Still Moves Stones,Max Lucado,1993.0,87694
582596,3442729785,Melancholie Der Ankunft,Jhumpa Lahiri,2002.0,79854
1985,0380718340,Cruel &amp Unusual (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1994.0,2910
1991,0440226414,Fortune's Hand,Belva Plain,2000.0,5063
1998,0553292722,Still Waters,TAMI HOAG,1992.0,7065
1999,0553571885,A Thin Dark Line (Mysteries &amp Horror),TAMI HOAG,1998.0,8311
11805,0553572997,The Alienist,Caleb Carr,1995.0,1777
122221,0330312367,Year In Provence,Peter Mayle,,2190
30436,3596200261,"Fischer TaschenbÃ?Â¼cher, Bd.26, SchÃ?Â¶ne neue Welt",Aldous Huxley,2002.0,8116
172210,0785264280,The Traveler's Gift : Seven Decisions that Determine Personal Success,Andy Andrews,2002.0,23724
25278,014038572X,The Outsiders (Now in Speak!),S. E. Hinton,1997.0,5654
2029,0312113420,James Herriot's Cat Stories,James Herriot,1994.0,25199
2039,0312979533,A Place of Execution,Val McDermid,2001.0,12734
2046,0345330129,The Door into Summer,Robert A. Heinlein,1993.0,4367
2095,0440213320,Deadlock (V.I. Warshawski Novels (Paperback)),SARA PARETSKY,1992.0,28264
